ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
1285;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7083;0.6800;0.6939;0.5736;0.5873;0.5804;0.3137;0.3265;0.3200;0.5833;0.8182;0.6923;0.7500;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6818
1286;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7101;0.7840;0.7452;0.6847;0.6032;0.6414;0.5098;0.5306;0.5200;0.6667;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
1287;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7236;0.7120;0.7177;0.6832;0.5476;0.6079;0.4605;0.7143;0.5600;0.6433;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
1288;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7934;0.7680;0.7805;0.6555;0.6190;0.6367;0.5167;0.6327;0.5688;0.6833;0.4507;0.8205;0.5818;0.1875;0.0811;0.1132;0.0000;0.0000;0.0000;0.3977
1289;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7705;0.7520;0.7611;0.6480;0.6429;0.6454;0.5849;0.6327;0.6078;0.6867;0.7105;0.6923;0.7013;0.5918;0.7838;0.6744;1.0000;0.0833;0.1538;0.6477
1290;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7795;0.7920;0.7857;0.7009;0.6508;0.6749;0.6429;0.7347;0.6857;0.7233;0.6667;0.8205;0.7356;0.6571;0.6216;0.6389;0.4000;0.1667;0.2353;0.6477
1291;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.7953;0.8080;0.8016;0.7031;0.7143;0.7087;0.6667;0.6122;0.6383;0.7367;0.8148;0.5641;0.6667;0.5424;0.8649;0.6667;0.5000;0.0833;0.1429;0.6250
1292;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.8036;0.7200;0.7595;0.5912;0.7460;0.6596;0.4483;0.2653;0.3333;0.6567;0.9583;0.5897;0.7302;0.5625;0.9730;0.7129;0.0000;0.0000;0.0000;0.6705
1293;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7442;0.7680;0.7559;0.5793;0.7540;0.6552;0.2857;0.0408;0.0714;0.6433;0.8529;0.7436;0.7945;0.6296;0.9189;0.7473;0.0000;0.0000;0.0000;0.7159
1294;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7440;0.7440;0.7440;0.6596;0.7381;0.6966;0.5588;0.3878;0.4578;0.6833;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
1295;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 1, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8000;0.8320;0.8157;0.7402;0.7460;0.7431;0.6512;0.5714;0.6087;0.7533;1.0000;0.6923;0.8182;0.6066;1.0000;0.7551;0.0000;0.0000;0.0000;0.7273
1296;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.7615;0.7920;0.7765;0.6532;0.6429;0.6480;0.5217;0.4898;0.5053;0.6800;0.6667;0.3590;0.4667;0.6250;0.8108;0.7059;0.1053;0.1667;0.1290;0.5227
1297;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7402;0.7520;0.7460;0.6500;0.6190;0.6341;0.5472;0.5918;0.5686;0.6700;0.7105;0.6923;0.7013;0.5918;0.7838;0.6744;1.0000;0.0833;0.1538;0.6477
1298;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.02, 'min_samples_leaf': 5, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7661;0.7600;0.7631;0.6562;0.6667;0.6614;0.6042;0.5918;0.5979;0.6933;0.6522;0.7692;0.7059;0.5897;0.6216;0.6053;0.6667;0.1667;0.2667;0.6250
