ID;Conf;D1G-P;D1G-R;D1G-F1;D1Y-P;D1Y-R;D1Y-F1;D1R-P;D1R-R;D1R-F1;D1Accuracy;D2G-P;D2G-R;D2G-F1;D2Y-P;D2Y-R;D2Y-F1;D2R-P;D2R-R;D2R-F1;D2Accuracy
1166;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7167;0.5443;0.6187;0.6364;0.6774;0.6562;0.3077;0.4615;0.3692;0.5960;0.9615;0.6410;0.7692;0.5763;0.9189;0.7083;0.0000;0.0000;0.0000;0.6705
1167;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 25, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.7679;0.5443;0.6370;0.6195;0.7527;0.6796;0.2069;0.2308;0.2182;0.6010;0.6765;0.5897;0.6301;0.4815;0.7027;0.5714;0.0000;0.0000;0.0000;0.5568
1168;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'auto'};0.6182;0.4304;0.5075;0.5133;0.6237;0.5631;0.1000;0.1154;0.1071;0.4798;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
1169;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 'log2'};0.7955;0.4430;0.5691;0.5500;0.5914;0.5699;0.1852;0.3846;0.2500;0.5051;0.8125;0.6667;0.7324;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6705
1170;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': None};0.7667;0.5823;0.6619;0.6517;0.6237;0.6374;0.2449;0.4615;0.3200;0.5859;0.7143;0.7692;0.7407;0.5682;0.6757;0.6173;0.0000;0.0000;0.0000;0.6250
1171;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'entropy', 'random_state': 42, 'max_features': 0.5};0.8367;0.5190;0.6406;0.5625;0.5806;0.5714;0.1132;0.2308;0.1519;0.5101;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
1172;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'auto'};0.6744;0.3671;0.4754;0.4957;0.6129;0.5481;0.2000;0.3077;0.2424;0.4747;0.4571;0.8205;0.5872;0.2143;0.0811;0.1176;0.0000;0.0000;0.0000;0.3977
1173;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 'log2'};0.7500;0.5316;0.6222;0.6413;0.6344;0.6378;0.2000;0.3846;0.2632;0.5606;0.8182;0.6923;0.7500;0.6000;0.8919;0.7174;0.0000;0.0000;0.0000;0.6818
1174;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': None};0.7308;0.4810;0.5802;0.6196;0.6129;0.6162;0.2222;0.4615;0.3000;0.5404;0.8824;0.7692;0.8219;0.6078;0.8378;0.7045;0.0000;0.0000;0.0000;0.6932
1175;{'max_depth': None, 'min_samples_split': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 30, 'criterion': 'gini', 'random_state': 42, 'max_features': 0.5};0.8140;0.4430;0.5738;0.5926;0.6882;0.6368;0.1277;0.2308;0.1644;0.5303;0.5789;0.8462;0.6875;0.5806;0.4865;0.5294;0.0000;0.0000;0.0000;0.5795
